#"arc_length" "flux" "flux"
210.535 5.12291e+13 5.70025e+13
210.86 5.17488e+13 5.72923e+13
211.185 5.22597e+13 5.75791e+13
211.51 5.2762e+13 5.7863e+13
211.835 5.3256e+13 5.81441e+13
212.16 5.3742e+13 5.84225e+13
212.485 5.42202e+13 5.86982e+13
212.809 5.46909e+13 5.89713e+13
213.134 5.51541e+13 5.92419e+13
213.459 5.56103e+13 5.95101e+13
213.784 5.60639e+13 5.9776e+13
214.109 5.65506e+13 6.00416e+13
214.434 5.70356e+13 6.03084e+13
214.759 5.7519e+13 6.05764e+13
215.084 5.80006e+13 6.08457e+13
215.409 5.84804e+13 6.11163e+13
215.734 5.89583e+13 6.13883e+13
216.059 5.94344e+13 6.16617e+13
216.383 5.99085e+13 6.19365e+13
216.708 6.03805e+13 6.22127e+13
217.033 6.08505e+13 6.24906e+13
217.358 6.13183e+13 6.27699e+13
217.683 6.17839e+13 6.3051e+13
218.008 6.22472e+13 6.33337e+13
218.333 6.27081e+13 6.36181e+13
218.658 6.31666e+13 6.39043e+13
218.983 6.36225e+13 6.41924e+13
219.307 6.40758e+13 6.44824e+13
219.632 6.45264e+13 6.47744e+13
219.957 6.49742e+13 6.50684e+13
220.282 6.5419e+13 6.53646e+13
220.607 6.58609e+13 6.56629e+13
